x, y, xvel, yvel, xacc, yacc
395.43174999999644, 51.081967500002, 48.4, 84.304, -100, -981
396.1933499999964, 52.305263500002, 46.8, 68.608, -100, -981
396.9293499999964, 53.277423500002, 45.199999999999996, 52.912000000000006, -100, -981
397.6397499999964, 53.998447500002, 43.599999999999994, 37.21600000000001, -100, -981
398.3245499999964, 54.468335500002, 41.99999999999999, 21.52000000000001, -100, -981
398.9837499999964, 54.687087500002, 40.39999999999999, 5.8240000000000105, -100, -981
399.6173499999964, 54.654703500002, 38.79999999999999, -9.87199999999999, -100, -981
400.22534999999635, 54.371183500002, 37.19999999999999, -25.56799999999999, -100, -981
400.8077499999963, 53.836527500002, 35.59999999999999, -41.26399999999999, -100, -981
401.36454999999626, 53.050735500002, 33.999999999999986, -56.95999999999999, -100, -981
401.8957499999962, 52.013807500001995, 32.399999999999984, -72.65599999999999, -100, -981
402.40134999999617, 50.725743500002, 30.799999999999983, -88.35199999999999, -100, -981
402.88134999999613, 49.186543500001996, 29.19999999999998, -104.04799999999999, -100, -981
403.3357499999961, 47.39620750000199, 27.59999999999998, -119.74399999999999, -100, -981
403.76454999999606, 45.35473550000199, 25.99999999999998, -135.44, -100, -981
404.16774999999603, 43.06212750000199, 24.399999999999977, -151.136, -100, -981
404.545349999996, 40.51838350000199, 22.799999999999976, -166.832, -100, -981
404.897349999996, 37.72350350000199, 21.199999999999974, -182.528, -100, -981
405.22374999999596, 34.67748750000199, 19.599999999999973, -198.224, -100, -981
405.52454999999594, 31.380335500001987, 17.99999999999997, -213.92, -100, -981
405.7997499999959, 27.832047500001984, 16.39999999999997, -229.61599999999999, -100, -981
406.0493499999959, 24.032623500001982, 14.79999999999997, -245.31199999999998, -100, -981
406.2733499999959, 19.98206350000198, 13.19999999999997, -261.008, -100, -981
406.4717499999959, 15.680367500001983, 11.599999999999971, -276.704, -100, -981
406.6445499999959, 11.127535500001985, 9.999999999999972, -292.40000000000003, -100, -981
406.7917499999959, 6.3235675000019835, 8.399999999999972, -308.09600000000006, -100, -981
406.9133499999959, 1.2684635000019817, 6.799999999999972, -323.7920000000001, -100, -981
407.00934999999583, -4.03777649999802, 5.199999999999973, -339.4880000000001, -100, -981
407.0797499999958, -9.59515249999802, 3.5999999999999726, -355.18400000000014, -100, -981
407.12454999999574, -15.403664499998023, 1.9999999999999725, -370.88000000000017, -100, -981
407.1437499999957, -21.463312499998025, 0.3999999999999724, -386.5760000000002, -100, -981
407.13734999999565, -27.77409649999803, -1.2000000000000277, -402.2720000000002, -100, -981
